id,title,slug,price,description,images,creationAt,updatedAt,category.id,category.name,category.slug,category.image,category.creationAt,category.updatedAt
4,Classic Grey Hooded Sweatshirt666,classic-grey-hooded-sweatshirt666,90,"Elevate your casual wear with our Classic Grey Hooded Sweatshirt. Made from a soft cotton blend, this hoodie features a front kangaroo pocket, an adjustable drawstring hood, and ribbed cuffs for a snug fit. Perfect for those chilly evenings or lazy weekends, it pairs effortlessly with your favorite jeans or joggers.","['https://i.imgur.com/R2PN9Wq.jpeg', 'https://i.imgur.com/IvxMPFr.jpeg', 'https://i.imgur.com/7eW9nXP.jpeg']",2026-07-06T23:51:29.000Z,2026-07-07T07:08:50.000Z,1,Clothes,clothes,https://i.imgur.com/QkIa5tT.jpeg,2026-07-06T23:51:29.000Z,2026-07-06T23:51:29.000Z
5,Classic White Hooded Sweatshirt,classic-white-hooded-sweatshirt,150,"Elevate your casual wardrobe with our Classic White Hooded Sweatshirt. Made from high-quality, soft fabric that ensures comfort and durability, this hoodie features a spacious kangaroo pocket and an adjustable drawstring hood. Its versatile design makes it perfect for a relaxed day at home or a casual outing.","['https://i.imgur.com/cSytoSD.jpeg', 'https://i.imgur.com/WwKucXb.jpeg', 'https://i.imgur.com/cE2Dxh9.jpeg']",2026-07-06T23:51:29.000Z,2026-07-07T00:01:24.000Z,1,Clothes,clothes,https://i.imgur.com/QkIa5tT.jpeg,2026-07-06T23:51:29.000Z,2026-07-06T23:51:29.000Z
6,Classic Comfort Fit Joggersytrytrytrytryt,classic-comfort-fit-joggersytrytrytrytryt,25,"Discover the perfect blend of style and comfort with our Classic Comfort Fit Joggers. These versatile black joggers feature a soft elastic waistband with an adjustable drawstring, two side pockets, and ribbed ankle cuffs for a secure fit. Made from a lightweight and durable fabric, they are ideal for both active days and relaxed lounging.","['https://i.imgur.com/ZKGofuB.jpeg', 'https://i.imgur.com/GJi73H0.jpeg', 'https://i.imgur.com/633Fqrz.jpeg']",2026-07-06T23:51:29.000Z,2026-07-07T07:08:18.000Z,1,Clothes,clothes,https://i.imgur.com/QkIa5tT.jpeg,2026-07-06T23:51:29.000Z,2026-07-06T23:51:29.000Z
7,Classic Comfort Drawstring Joggers,classic-comfort-drawstring-joggers,79,"Experience the perfect blend of comfort and style with our Classic Comfort Drawstring Joggers. Designed for a relaxed fit, these joggers feature a soft, stretchable fabric, convenient side pockets, and an adjustable drawstring waist with elegant gold-tipped detailing. Ideal for lounging or running errands, these pants will quickly become your go-to for effortless, casual wear.","['https://i.imgur.com/mp3rUty.jpeg', 'https://i.imgur.com/JQRGIc2.jpeg']",2026-07-06T23:51:29.000Z,2026-07-06T23:51:29.000Z,1,Clothes,clothes,https://i.imgur.com/QkIa5tT.jpeg,2026-07-06T23:51:29.000Z,2026-07-06T23:51:29.000Z
8,Classic Red Jogger Sweatpants,classic-red-jogger-sweatpants,98,"Experience ultimate comfort with our red jogger sweatpants, perfect for both workout sessions and lounging around the house. Made with soft, durable fabric, these joggers feature a snug waistband, adjustable drawstring, and practical side pockets for functionality. Their tapered design and elastic cuffs offer a modern fit that keeps you looking stylish on the go.","['https://i.imgur.com/9LFjwpI.jpeg', 'https://i.imgur.com/vzrTgUR.jpeg', 'https://i.imgur.com/p5NdI6n.jpeg']",2026-07-06T23:51:29.000Z,2026-07-06T23:51:29.000Z,1,Clothes,clothes,https://i.imgur.com/QkIa5tT.jpeg,2026-07-06T23:51:29.000Z,2026-07-06T23:51:29.000Z
9,Classic Navy Blue Baseball Cap,classic-navy-blue-baseball-cap,61,"Step out in style with this sleek navy blue baseball cap. Crafted from durable material, it features a smooth, structured design and an adjustable strap for the perfect fit. Protect your eyes from the sun and complement your casual looks with this versatile and timeless accessory.","['https://i.imgur.com/R3iobJA.jpeg', 'https://i.imgur.com/Wv2KTsf.jpeg', 'https://i.imgur.com/76HAxcA.jpeg']",2026-07-06T23:51:29.000Z,2026-07-06T23:51:29.000Z,1,Clothes,clothes,https://i.imgur.com/QkIa5tT.jpeg,2026-07-06T23:51:29.000Z,2026-07-06T23:51:29.000Z
10,Classic Blue Baseball Cap,classic-blue-baseball-cap,86,"Top off your casual look with our Classic Blue Baseball Cap, made from high-quality materials for lasting comfort. Featuring a timeless six-panel design with a pre-curved visor, this adjustable cap offers both style and practicality for everyday wear.","['https://i.imgur.com/wXuQ7bm.jpeg', 'https://i.imgur.com/BZrIEmb.jpeg', 'https://i.imgur.com/KcT6BE0.jpeg']",2026-07-06T23:51:29.000Z,2026-07-06T23:51:29.000Z,1,Clothes,clothes,https://i.imgur.com/QkIa5tT.jpeg,2026-07-06T23:51:29.000Z,2026-07-06T23:51:29.000Z
11,Classic Red Baseball Cap,classic-red-baseball-cap,35,"Elevate your casual wardrobe with this timeless red baseball cap. Crafted from durable fabric, it features a comfortable fit with an adjustable strap at the back, ensuring one size fits all. Perfect for sunny days or adding a sporty touch to your outfit.","['https://i.imgur.com/cBuLvBi.jpeg', 'https://i.imgur.com/N1GkCIR.jpeg', 'https://i.imgur.com/kKc9A5p.jpeg']",2026-07-06T23:51:29.000Z,2026-07-06T23:51:29.000Z,1,Clothes,clothes,https://i.imgur.com/QkIa5tT.jpeg,2026-07-06T23:51:29.000Z,2026-07-06T23:51:29.000Z
12,Classic Black Baseball Cap,classic-black-baseball-cap,58,"Elevate your casual wear with this timeless black baseball cap. Made with high-quality, breathable fabric, it features an adjustable strap for the perfect fit. Whether you’re out for a jog or just running errands, this cap adds a touch of style to any outfit.","['https://i.imgur.com/KeqG6r4.jpeg', 'https://i.imgur.com/xGQOw3p.jpeg', 'https://i.imgur.com/oO5OUjb.jpeg']",2026-07-06T23:51:29.000Z,2026-07-06T23:51:29.000Z,1,Clothes,clothes,https://i.imgur.com/QkIa5tT.jpeg,2026-07-06T23:51:29.000Z,2026-07-06T23:51:29.000Z
13,Classic Olive Chino Shorts,classic-olive-chino-shorts,84,"Elevate your casual wardrobe with these classic olive chino shorts. Designed for comfort and versatility, they feature a smooth waistband, practical pockets, and a tailored fit that makes them perfect for both relaxed weekends and smart-casual occasions. The durable fabric ensures they hold up throughout your daily activities while maintaining a stylish look.","['https://i.imgur.com/UsFIvYs.jpeg', 'https://i.imgur.com/YIq57b6.jpeg']",2026-07-06T23:51:29.000Z,2026-07-06T23:51:29.000Z,1,Clothes,clothes,https://i.imgur.com/QkIa5tT.jpeg,2026-07-06T23:51:29.000Z,2026-07-06T23:51:29.000Z
14,Classic High-Waisted Athletic Shorts,classic-high-waisted-athletic-shorts,43,"Stay comfortable and stylish with our Classic High-Waisted Athletic Shorts. Designed for optimal movement and versatility, these shorts are a must-have for your workout wardrobe. Featuring a figure-flattering high waist, breathable fabric, and a secure fit that ensures they stay in place during any activity, these shorts are perfect for the gym, running, or even just casual wear.","['https://i.imgur.com/eGOUveI.jpeg', 'https://i.imgur.com/UcsGO7E.jpeg', 'https://i.imgur.com/NLn4e7S.jpeg']",2026-07-06T23:51:29.000Z,2026-07-06T23:51:29.000Z,1,Clothes,clothes,https://i.imgur.com/QkIa5tT.jpeg,2026-07-06T23:51:29.000Z,2026-07-06T23:51:29.000Z
15,Classic White Crew Neck T-Shirt,classic-white-crew-neck-t-shirt,39,"Elevate your basics with this versatile white crew neck tee. Made from a soft, breathable cotton blend, it offers both comfort and durability. Its sleek, timeless design ensures it pairs well with virtually any outfit. Ideal for layering or wearing on its own, this t-shirt is a must-have staple for every wardrobe.","['https://i.imgur.com/axsyGpD.jpeg', 'https://i.imgur.com/T8oq9X2.jpeg', 'https://i.imgur.com/J6MinJn.jpeg']",2026-07-06T23:51:29.000Z,2026-07-06T23:51:29.000Z,1,Clothes,clothes,https://i.imgur.com/QkIa5tT.jpeg,2026-07-06T23:51:29.000Z,2026-07-06T23:51:29.000Z
16,Classic White Tee - Timeless Style and Comfort,classic-white-tee-timeless-style-and-comfort,73,"Elevate your everyday wardrobe with our Classic White Tee. Crafted from premium soft cotton material, this versatile t-shirt combines comfort with durability, perfect for daily wear. Featuring a relaxed, unisex fit that flatters every body type, it's a staple piece for any casual ensemble. Easy to care for and machine washable, this white tee retains its shape and softness wash after wash. Pair it with your favorite jeans or layer it under a jacket for a smart look.","['https://i.imgur.com/Y54Bt8J.jpeg', 'https://i.imgur.com/SZPDSgy.jpeg', 'https://i.imgur.com/sJv4Xx0.jpeg']",2026-07-06T23:51:29.000Z,2026-07-06T23:51:29.000Z,1,Clothes,clothes,https://i.imgur.com/QkIa5tT.jpeg,2026-07-06T23:51:29.000Z,2026-07-06T23:51:29.000Z
17,Classic Black T-Shirt,classic-black-t-shirt,35,"Elevate your everyday style with our Classic Black T-Shirt. This staple piece is crafted from soft, breathable cotton for all-day comfort. Its versatile design features a classic crew neck and short sleeves, making it perfect for layering or wearing on its own. Durable and easy to care for, it's sure to become a favorite in your wardrobe.","['https://i.imgur.com/9DqEOV5.jpeg', 'https://i.imgur.com/ae0AEYn.jpeg', 'https://i.imgur.com/mZ4rUjj.jpeg']",2026-07-06T23:51:29.000Z,2026-07-06T23:51:29.000Z,1,Clothes,clothes,https://i.imgur.com/QkIa5tT.jpeg,2026-07-06T23:51:29.000Z,2026-07-06T23:51:29.000Z
18,Sleek White & Orange Wireless Gaming Controller,sleek-white-orange-wireless-gaming-controller,69,"Elevate your gaming experience with this state-of-the-art wireless controller, featuring a crisp white base with vibrant orange accents. Designed for precision play, the ergonomic shape and responsive buttons provide maximum comfort and control for endless hours of gameplay. Compatible with multiple gaming platforms, this controller is a must-have for any serious gamer looking to enhance their setup.","['https://i.imgur.com/ZANVnHE.jpeg', 'https://i.imgur.com/Ro5z6Tn.jpeg', 'https://i.imgur.com/woA93Li.jpeg']",2026-07-06T23:51:29.000Z,2026-07-06T23:51:29.000Z,2,QueryreteFailedError,queryretefailederror,https://i.imgur.com/ZANVnHE.jpeg,2026-07-06T23:51:29.000Z,2026-07-07T05:25:02.000Z
19,Sleek Wireless Headphone & Inked Earbud Set,sleek-wireless-headphone-inked-earbud-set,44,"Experience the fusion of style and sound with this sophisticated audio set featuring a pair of sleek, white wireless headphones offering crystal-clear sound quality and over-ear comfort. The set also includes a set of durable earbuds, perfect for an on-the-go lifestyle. Elevate your music enjoyment with this versatile duo, designed to cater to all your listening needs.","['https://i.imgur.com/yVeIeDa.jpeg', 'https://i.imgur.com/jByJ4ih.jpeg', 'https://i.imgur.com/KXj6Tpb.jpeg']",2026-07-06T23:51:29.000Z,2026-07-06T23:51:29.000Z,2,QueryreteFailedError,queryretefailederror,https://i.imgur.com/ZANVnHE.jpeg,2026-07-06T23:51:29.000Z,2026-07-07T05:25:02.000Z
